Date,Time,COGT,NO2GT,RH
10 Mar 04,64800,3,113,48.9
10 Mar 04,68400,2,92,47.7
10 Mar 04,72000,2,114,54
10 Mar 04,75600,2,122,60
10 Mar 04,79200,2,116,59.6
10 Mar 04,82800,1,96,59.2
11 Mar 04,0,1,77,56.8
11 Mar 04,3600,1,76,60
11 Mar 04,7200,1,60,59.7
11 Mar 04,10800,1,-200,60.2
11 Mar 04,18000,1,28,56.2
11 Mar 04,21600,1,48,58.1
11 Mar 04,25200,1,82,59.6
11 Mar 04,28800,2,112,57.4
11 Mar 04,32400,2,101,60.6
11 Mar 04,36000,2,98,58.4
11 Mar 04,39600,2,92,57.9
11 Mar 04,43200,2,95,66.8
11 Mar 04,46800,2,112,76.4
11 Mar 04,50400,3,128,81.1
11 Mar 04,54000,2,126,79.8
11 Mar 04,57600,2,131,71.2
11 Mar 04,61200,3,135,67.6
11 Mar 04,64800,5,151,64.2
11 Mar 04,68400,7,172,69.3
11 Mar 04,72000,6,165,67.8
11 Mar 04,75600,4,136,64
11 Mar 04,79200,2,85,63.4
11 Mar 04,82800,1,53,60.8
12 Mar 04,0,2,97,58.5
12 Mar 04,3600,2,110,59.7
12 Mar 04,7200,1,91,61.8
12 Mar 04,10800,1,-200,62.3
12 Mar 04,18000,1,44,65
12 Mar 04,21600,1,71,62.9
12 Mar 04,25200,1,104,65.1
12 Mar 04,28800,4,141,63.1
12 Mar 04,36000,3,122,41.7
12 Mar 04,39600,3,143,38.4
12 Mar 04,43200,2,113,36.5
12 Mar 04,46800,2,116,34.5
12 Mar 04,50400,3,123,35.7
12 Mar 04,54000,3,126,37
12 Mar 04,57600,3,120,37.2
12 Mar 04,61200,2,119,34.3
12 Mar 04,64800,4,149,39.6
12 Mar 04,68400,4,145,43.4
12 Mar 04,72000,7,170,50.5
12 Mar 04,75600,4,149,53.3
12 Mar 04,79200,4,139,59.1
12 Mar 04,82800,5,134,64.6
13 Mar 04,0,3,113,64.1
13 Mar 04,3600,2,97,63.9
13 Mar 04,7200,2,82,63.9
13 Mar 04,10800,2,-200,67.5
13 Mar 04,18000,1,65,63.6
13 Mar 04,21600,1,60,67.5
13 Mar 04,25200,2,77,71.9
13 Mar 04,28800,3,96,71.6
13 Mar 04,32400,4,119,59.7
13 Mar 04,36000,3,126,51.2
13 Mar 04,39600,4,158,42.2
13 Mar 04,43200,4,161,33.8
13 Mar 04,46800,3,124,31.3
13 Mar 04,50400,2,102,34.8
13 Mar 04,54000,2,116,33.6
13 Mar 04,57600,2,124,35.1
13 Mar 04,61200,2,125,37.8
13 Mar 04,64800,3,148,41
13 Mar 04,68400,4,165,42.4
13 Mar 04,72000,4,161,44.1
13 Mar 04,75600,4,159,46.8
13 Mar 04,79200,3,143,48.6
13 Mar 04,82800,3,130,49.3
14 Mar 04,0,3,129,53.6
14 Mar 04,3600,3,119,51.5
14 Mar 04,7200,2,104,58.9
14 Mar 04,10800,2,-200,63.4
14 Mar 04,18000,1,70,63.1
14 Mar 04,21600,1,63,62.2
14 Mar 04,25200,1,67,67.6
14 Mar 04,28800,1,84,62.7
14 Mar 04,32400,2,83,60
14 Mar 04,36000,2,98,53.1
14 Mar 04,39600,3,114,46.1
14 Mar 04,43200,3,119,38.2
14 Mar 04,46800,2,104,31.4
14 Mar 04,50400,2,102,30.2
14 Mar 04,54000,2,107,29
14 Mar 04,57600,3,129,28.4
14 Mar 04,61200,3,128,30.8
14 Mar 04,64800,2,121,36.7
14 Mar 04,68400,5,157,41.7
14 Mar 04,72000,6,173,46.1
14 Mar 04,75600,3,146,49.6
14 Mar 04,79200,2,121,51
14 Mar 04,82800,2,119,55.9
15 Mar 04,0,2,99,54.7
